post_number,platform,post_id,schedule_ct,schedule_utc,image_path
1,facebook,69b473359874e045cb6eb1e9,2026-03-16 09:12 AM,2026-03-16T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_01_branded_v3.png
1,instagram,69b473350eaf22bd601c5cef,2026-03-16 12:18 PM,2026-03-16T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_01_branded_v3.png
1,linkedin,69b473369874e02dc76eb2fd,2026-03-17 08:42 AM,2026-03-17T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_01_branded_v3.png
2,facebook,69b473374e84c91993b1578c,2026-03-17 09:12 AM,2026-03-17T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_02_branded_v3.png
2,instagram,69b47337b6586b00aedb86a9,2026-03-17 12:18 PM,2026-03-17T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_02_branded_v3.png
2,linkedin,69b47337c036db20baa70a24,2026-03-18 08:42 AM,2026-03-18T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_02_branded_v3.png
3,facebook,69b473380eaf2274f81c60f2,2026-03-18 09:12 AM,2026-03-18T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_03_branded_v3.png
3,instagram,69b473386a3291867bbb7ff2,2026-03-18 12:18 PM,2026-03-18T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_03_branded_v3.png
3,linkedin,69b47339e919ca2c6b97dedb,2026-03-19 08:42 AM,2026-03-19T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_03_branded_v3.png
4,facebook,69b4733a0eaf222e781c634e,2026-03-19 09:12 AM,2026-03-19T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_04_branded_v3.png
4,instagram,69b4733ab6586b169bdb8baf,2026-03-19 12:18 PM,2026-03-19T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_04_branded_v3.png
4,linkedin,69b4733ae919cae22c97e148,2026-03-20 08:42 AM,2026-03-20T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_04_branded_v3.png
5,facebook,69b4733b0eaf226c821c6603,2026-03-20 09:12 AM,2026-03-20T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_05_branded_v3.png
5,instagram,69b4733cd32cb8ebfa8c5de4,2026-03-20 12:18 PM,2026-03-20T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_05_branded_v3.png
5,linkedin,69b4733d6585e9a00e688836,2026-03-23 08:42 AM,2026-03-23T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_05_branded_v3.png
6,facebook,69b4733e6a329195c2bb8891,2026-03-23 09:12 AM,2026-03-23T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_06_branded_v3.png
6,instagram,69b4733e36bd5239b93121a3,2026-03-23 12:18 PM,2026-03-23T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_06_branded_v3.png
6,linkedin,69b4733fe919ca2b6d97e724,2026-03-24 08:42 AM,2026-03-24T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_06_branded_v3.png
7,facebook,69b473409874e04a786ec203,2026-03-24 09:12 AM,2026-03-24T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_07_branded_v3.png
7,instagram,69b47340d32cb860f78c63d5,2026-03-24 12:18 PM,2026-03-24T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_07_branded_v3.png
7,linkedin,69b473406a32912e90bb8bfe,2026-03-25 08:42 AM,2026-03-25T13:42:00.000Z,ad-drafts/30-posts/branded-v3/post_07_branded_v3.png
8,facebook,69b47341b6586bc393db9486,2026-03-25 09:12 AM,2026-03-25T14:12:00.000Z,ad-drafts/30-posts/branded-v3/post_08_branded_v3.png
8,instagram,69b473410eaf227de11c6d2f,2026-03-25 12:18 PM,2026-03-25T17:18:00.000Z,ad-drafts/30-posts/branded-v3/post_08_branded_v3.png
